frame,elbow_y,shoulder_y,angle,reference_angle,deviation,smoothed_status,fps,hint,phase
198,587,416,0,150,0,False,29,,baseline
199,589,418,0,150,0,False,33,,baseline
200,590,419,0,150,0,False,31,,baseline
201,592,420,0,150,0,False,20,,baseline
202,591,420,0,150,0,False,38,,baseline
203,591,420,0,150,0,False,31,,baseline
204,590,420,0,150,0,False,33,,baseline
205,590,420,0,150,0,False,32,,baseline
206,590,420,0,150,0,False,23,,baseline
207,590,420,0,150,0,False,29,,baseline
208,590,420,0,150,0,False,30,,baseline
209,590,420,0,150,0,False,32,,baseline
210,590,419,0,150,0,False,21,,baseline
211,590,419,0,150,0,False,30,,baseline
212,590,419,0,150,0,False,32,,baseline
213,590,419,0,150,0,False,31,,baseline
214,589,419,0,150,0,False,30,,baseline
215,589,419,0,150,0,False,32,,baseline
216,590,419,0,150,0,False,31,,baseline
217,589,419,0,150,0,False,34,,baseline
218,588,418,0,150,0,False,26,,baseline
219,588,418,0,150,0,False,22,,baseline
220,587,418,0,150,0,False,36,,baseline
221,587,417,0,150,0,False,32,,baseline
222,585,416,0,150,0,False,31,,baseline
223,583,415,0,150,0,False,29,,baseline
